Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
label,div,1.0,0.0,0.2,0.9,0.2083,0.732,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.2165,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
th,tr,0.0,0.0,1.0,0.9286,0.4375,0.6731,0.5833,1.0,1.0,grey,black,1.0,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.5155,0.5833,1.0,1.0,grey,black,0.0284,LabelCandidate
label,div,1.0,0.0,0.4,1.0,0.2083,0.6598,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.5,1.0,1.0,0.5156,0.4667,1.0,1.0,grey,black,0.0325,LabelCandidate
label,div,1.0,0.0,0.5,1.0,1.0,0.7031,0.4667,1.0,1.0,grey,black,0.0325,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.4845,0.5833,1.0,1.0,grey,black,0.0285,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.3711,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.7629,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.4,0.9,0.2083,0.2268,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
th,tr,0.0,0.0,1.0,0.9286,0.2083,0.6731,0.5833,1.0,1.0,grey,black,1.0,LabelCandidate
label,div,1.0,0.0,0.2,0.9,0.2083,0.7216,0.5833,1.0,1.0,grey,black,0.0172,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7766,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.0769,0.7727,0.6098,0.1616,0.7,0.0,1.0,black,black,0.0075,LabelCandidate
label,div,1.0,0.0,0.1818,0.6,0.1122,0.9064,0.5,0.0,1.0,grey,black,0.0028,LabelCandidate
label,div,1.0,0.0,0.1667,0.8235,0.1122,0.9722,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0833,0.8824,0.1122,0.9247,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.0833,0.9412,0.1122,0.9574,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.3333,0.7308,0.1837,0.904,0.2105,0.0,1.0,red,black,0.0031,LabelCandidate
h4,div,0.0,0.0,0.0,0.5455,0.1122,0.9479,0.6,0.0,1.0,grey,black,0.0242,LabelCandidate
label,div,1.0,0.0,0.0833,0.9412,0.3571,0.9493,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
span,label,0.0,0.0,0.0,0.6522,0.1122,0.9259999999999999,0.5,0.0,1.0,grey,black,0.004,LabelCandidate
label,div,1.0,0.0,0.0769,1.0,0.3571,0.9485,0.2105,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,0.0,0.0,0.0,0.7647,0.1122,0.9869,0.5,0.0,1.0,grey,black,0.0137,LabelCandidate
label,div,1.0,0.0,0.3333,0.7308,0.1837,0.8283,0.2105,0.0,1.0,red,black,0.0031,LabelCandidate
label,div,0.0,0.0,0.2727,0.65,0.1122,0.9651,0.5,0.0,1.0,grey,black,0.0044,LabelCandidate
label,div,1.0,0.0,0.0833,0.8824,0.1122,0.9313,0.5,0.0,1.0,grey,black,0.0027,LabelCandidate
label,div,1.0,0.0,0.1111,0.7308,0.1837,0.851,0.2105,0.0,1.0,grey,black,0.0031,LabelCandidate
label,div,1.0,0.0,0.1667,0.5625,0.2653,0.9504,0.1667,0.0,1.0,grey,black,0.0026,LabelCandidate
